ground_truth,storage,virtual_machines,automation,logic_apps,log_analytics,bandwidth,load_balancer,service_bus,Others,yesterday_total_cost
91.04670337765845,17.724045,12.381159,0.0074642133,1.7568195,0.23006904,0.03758226,3.9645321,0.0063239345,57.89159,88.42616571241078
93.06887020562628,17.949335,12.659286,0.008107987,1.8163188,0.23014012,0.03758311,4.012848,0.006362926,57.012188,91.04670337765845
97.55272703129025,18.101208,13.405943,0.009289842,1.8801714,0.23019223,0.037584018,4.003542,0.0064013368,58.99496,93.06887020562628
97.78493017902996,18.197048,13.628199,0.01112287,1.9477652,0.23023093,0.03758483,3.9947474,0.0064378176,63.053707,97.55272703129025
96.16797726577252,17.969921,12.806641,0.006667433,1.6074394,0.22994854,0.037582465,4.0207725,0.0062193377,64.18698,97.78493017902996
111.39272320373682,18.201561,12.86447,0.0068204864,1.6536813,0.22997698,0.037580926,4.026913,0.0062497845,62.938385,96.16797726577252
130.16405684467907,18.98885,14.872833,0.00706502,1.7039574,0.23001274,0.03758138,4.0243573,0.0062861275,64.09455,111.39272320373682
124.37218319664771,20.502766,19.207434,0.0074651157,1.7579807,0.23005746,0.037582036,4.02356,0.0063265683,70.93241,130.16405684467907
138.5677019326056,21.795765,24.436388,0.008109143,2.1285257,0.230212,0.0375829,4.0308075,0.0063659856,69.50869,124.37218319664771
147.01031661624756,21.903505,28.39823,0.009299504,2.5397453,0.23091675,0.037583727,4.0216537,0.0064029675,63.206184,138.5677019326056
105.02407650376054,21.812271,36.92319,0.011139025,1.9627159,0.23129301,0.037584566,3.9773269,0.0064373827,62.827267,147.01031661624756
137.5153572689933,21.325352,37.16489,0.006668854,1.6164523,0.23013905,0.037582375,4.2131853,0.0062178886,59.091896,105.02407650376054
